icao	city	country	state	name	type	longitude	latitude	elevation
ESGG	Göteborg	Sweden	Västra Götalands län	Göteborg Landvetter Airport	large_airport	12.2798000	57.6628000	506
ESGH	Herrljunga	Sweden	Västra Götalands län	Herrljunga Airfield	small_airport	13.1082000	58.0293010	NULL
ESGI	Alingsås	Sweden	Västra Götalands län	Alingsås Airfield	small_airport	12.5758270	57.9488880	NULL
ESGJ	Jönköping	Sweden	Jönköpings län	Jönköping Airport	medium_airport	14.0686998	57.7575989	741
ESGK	Falköping	Sweden	Västra Götalands län	Falköping Airfield	small_airport	13.5878000	58.1698000	785
ESGL	Lidköping	Sweden	Västra Götalands län	Lidköping-Hovby Airport	small_airport	13.1744000	58.4655000	200
ESGM	Öresten	Sweden	Västra Götalands län	Öresten Airfield	small_airport	12.6490000	57.4453010	NULL
ESGO	Vårgårda	Sweden	Västra Götalands län	Vårgårda Airfield	small_airport	12.7889000	58.0393980	318
ESGP	Göteborg	Sweden	Västra Götalands län	Säve Airport	medium_airport	11.8704000	57.7747000	59
ESGR	Skövde	Sweden	Västra Götalands län	Skövde Airport	medium_airport	13.9727000	58.4564020	324
ESGS	Strömstad	Sweden	Västra Götalands län	Näsinge Airfield	small_airport	11.3437000	59.0168000	115
ESGT	Trollhättan	Sweden	Västra Götalands län	Trollhättan-Vänersborg Airport	medium_airport	12.3450003	58.3181000	137
ESGU	Uddevalla	Sweden	Västra Götalands län	Rörkärr Airfield	small_airport	11.7754000	58.3675990	NULL
ESGV	Varberg	Sweden	Hallands län	Varberg Getterön airfield	small_airport	12.2283000	57.1245990	5
ESIA	Karlsborg	Sweden	Västra Götalands län	Karlsborg Air Base	small_airport	14.5071000	58.5138020	308
ESIB	Såtenäs	NULL	NULL	Såtenäs Air Base	medium_airport	12.7144000	58.4263990	181
ESKK		Sweden	Örebro län	Karlskoga Airport	medium_airport	14.4959000	59.3459010	407
ESKM	Mora	Sweden	Dalarnas län	Mora Airport	medium_airport	14.5114000	60.9579010	634
ESKN	Nyköping	Sweden	Södermanlands län	Stockholm Skavsta Airport	medium_airport	16.9122010	58.7886010	140
ESKT	Tierp	Sweden	Uppsala län	Tierp Airfield	small_airport	17.4186520	60.3503510	129
ESKU		Sweden	Värmlanda län	Sunne Airfield	small_airport	13.1129000	59.8601990	NULL
ESKV	Arvika	Sweden	Värmlanda län	Arvika Airfield	small_airport	12.6394000	59.6759000	237
ESMB	Borglanda	Sweden	Kalmar län	Borglanda Airfield	small_airport	16.6560990	56.8629990	115
ESMC	Eksjö	Sweden	Jönköpings län	Ränneslätt Airfield	small_airport	14.9430000	57.6706010	720
ESME	Eslöv	NULL	NULL	Eslöv Airfield	small_airport	13.3299350	55.8489230	296
ESMG	Ljungby	Sweden	Kronoberge län	Feringe Airfield	small_airport	13.9217000	56.9502980	538
ESMH	Höganäs	Sweden	Skåne län	Höganäs Airfield	small_airport	12.5761000	56.1847990	21
ESMI	Sjöbo	Sweden	Skåne län	Sjöbo Sövde Airfield	small_airport	13.6747000	55.5982020	118
ESMK	Kristianstad	Sweden	Skåne län	Kristianstad Airport	medium_airport	14.0855000	55.9217000	76
ESML	Härslöv	Sweden	Skåne län	Landskrona Enoch Thulins Airfield	small_airport	12.8700000	55.9459990	194
ESMO		Sweden	Kalmar län	Oskarshamn Airport	small_airport	16.4979990	57.3504980	96
ESMP	Anderstorp	Sweden	Jönköpings län	Anderstorp Airfield	small_airport	13.5994000	57.2641980	507
ESMQ	Kalmar	Sweden	Kalmar län	Kalmar Airport	medium_airport	16.2876000	56.6855010	17
ESMS	Malmö	Sweden	Skåne län	Malmö Sturup Airport	medium_airport	13.3763270	55.5355640	236
ESMT	Halmstad	Sweden	Hallands län	Halmstad Airport	medium_airport	12.8202000	56.6911011	101
ESMV		Sweden	Jönköpings län	Hagshult Air Base	small_airport	14.1372000	57.2921980	556
ESMX	Växjö	Sweden	Kronoberge län	Växjö Kronoberg Airport	medium_airport	14.7279997	56.9291000	610
ESMY	Smålandsstenar	Sweden	Jönköpings län	Smålandsstenar Smålanda Airfield	small_airport	13.4402000	57.1685980	540
ESMZ	Ölanda	Sweden	Kalmar län	Ölanda Airfield	small_airport	17.0505240	57.3282360	27
ESNA	Hallviken	Sweden	Jämtlande län	Hallviken Airfield	small_airport	15.4583000	63.7383000	1119
ESND	Sveg	Sweden	Jämtlande län	Sveg Airport	small_airport	14.4229000	62.0477980	1178
ESNG	Gällivare	Sweden	Norrbottena län	Gällivare Airport	medium_airport	20.8146000	67.1324005	1027
ESNJ		Sweden	Norrbottena län	Jokkmokk Airfield	small_airport	20.1472000	66.4962010	904
ESNK	Nyland	Sweden	Västernorrlands län	Kramfors-Sollefteå Höga Kusten Airport	medium_airport	17.7689000	63.0485990	34
ESNL	Lycksele	Sweden	Västerbottens län	Lycksele Airport	medium_airport	18.7162000	64.5483020	705
ESNM		Sweden	Jämtlande län	Optand Airfield	small_airport	14.8028000	63.1286010	1236
ESNN	Sundsvall/ Härnösand	Sweden	Västernorrlands län	Sundsvall-Härnösand Airport	medium_airport	17.4438992	62.5280991	16
ESNO	Örnsköldsvik	Sweden	Västernorrlands län	Örnsköldsvik Airport	medium_airport	18.9899998	63.4082985	354
ESNP	Piteå	Sweden	Norrbottena län	Piteå Airfield	small_airport	21.2607990	65.3983000	43
ESNQ	Kiruna	Sweden	Norrbottena län	Kiruna Airport	medium_airport	20.3367996	67.8219986	1508
ESNR		NULL	NULL	Orsa Airfield	small_airport	14.7126000	61.1899990	683
ESNS	Skellefteå	Sweden	Västerbottens län	Skellefteå Airport	medium_airport	21.0769005	64.6248016	157
ESNU	Umeå	Sweden	Västerbottens län	Umeå Airport	medium_airport	20.2828007	63.7918015	24
ESNV	Vilhelmina	Sweden	Västerbottens län	Vilhelmina South Lapland Airport	medium_airport	16.8335990	64.5791020	1140
ESNX	Arvidsjaur	Sweden	Norrbottena län	Arvidsjaur Airport	medium_airport	19.2819004	65.5903015	1245
ESNY	Söderhamn	Sweden	Gävleborge län	Söderhamn Airport	medium_airport	17.0991000	61.2615010	88
ESOE	Örebro	Sweden	Örebro län	Örebro Airport	medium_airport	15.0380001	59.2237015	188
ESOH	Råda	Sweden	Värmlanda län	Hagfors Airport	small_airport	13.5789000	60.0201000	474
ESOK	Karlstad	Sweden	Värmlanda län	Karlstad Airport	medium_airport	13.3374000	59.4446980	352
ESOW	Stockholm / Västerås	Sweden	Västmanlanda län	Stockholm Västerås Airport	medium_airport	16.6336002	59.5894012	21
ESPA	Luleå	Sweden	Norrbottena län	Luleå Airport	medium_airport	22.1220000	65.5438000	65
ESPE	Vidsel	NULL	NULL	Vidsel Air Base	small_airport	20.1499000	65.8752980	597
ESQO		NULL	NULL	Arboga Airfield	small_airport	15.9241000	59.3866000	33
ESSA	Stockholm	Sweden	Stockholms län	Stockholm-Arlanda Airport	large_airport	17.9288290	59.6484900	137
ESSB	Stockholm	Sweden	Stockholms län	Stockholm-Bromma Airport	medium_airport	17.9417000	59.3544006	47
ESSD	Borlange	Sweden	Dalarnas län	Dala Airport	medium_airport	15.5152000	60.4220010	503
ESSF		Sweden	Kalmar län	Hultsfred Airport	small_airport	15.8233000	57.5257990	366
ESSI	Visingsö	Sweden	Jönköpings län	Visingsö Airfield	small_airport	14.4026000	58.0984000	NULL
ESSK	Gävle / Sandviken	Sweden	Gävleborge län	Gävle Sandviken Airport	medium_airport	16.9514010	60.5933000	224
ESSL	Linköping	NULL	NULL	Linköping City Airport	medium_airport	15.6805000	58.4062004	172
ESSN	Norrtälje	Sweden	Stockholms län	Norrtälje Airfield	small_airport	18.6952150	59.7325920	39
ESSP	Norrköping	Sweden	Östergötlands län	Norrköping Airport	medium_airport	16.2506008	58.5862999	32
ESST	Torsby	Sweden	Värmlanda län	Torsby Airport	medium_airport	12.9913000	60.1576000	393
ESSU	Eskilstuna	Sweden	Södermanlands län	Eskilstuna Airport	medium_airport	16.7084010	59.3511010	139
ESSV	Visby	Sweden	Gotlands län	Visby Airport	medium_airport	18.3462009	57.6627998	164
ESSW	Västervik	Sweden	Kalmar län	Västervik Airport	small_airport	16.5236000	57.7799990	118
ESSZ	Vängsö	Sweden	Södermanlands län	Vängsö Airfield	small_airport	17.2111000	59.1011010	46
ESTA	Ängelholm	Sweden	Skåne län	Ängelholm-Helsingborg Airport	medium_airport	12.8471003	56.2961006	68
ESTF	Fjällbacka	Sweden	Västra Götalands län	Fjällbacka Anra Airfield	small_airport	11.3144590	58.6300090	10
ESTL	Ljungbyhed	Sweden	Skåne län	Ljungbyhed Airfield	medium_airport	13.2125000	56.0828020	140
ESTT	Trelleborg	Sweden	Skåne län	Vellinge Airfield	small_airport	13.0221030	55.3912020	12
ESUD	Storuman	Sweden	Västerbottens län	Storuman Airport	medium_airport	17.6966000	64.9608990	915
ESUP		NULL	NULL	Pajala Airport	small_airport	23.0748940	67.2445690	542
ESUT	Hemavan	Sweden	Västerbottens län	Hemavan Airport	small_airport	15.0828000	65.8060990	1503
ESVS	Siljansnäs	Sweden	Dalarnas län	Siljansnäs Air Park	small_airport	14.8272000	60.7850990	611
ETAD	Trier	NULL	NULL	Spangdahlem Air Base	medium_airport	6.6984130	49.9765070	1197
ETAR	Ramstein-Miesenbach	Germany	Rhineland-Palatinate	Ramstein Air Base	medium_airport	7.6002800	49.4369010	776
ETHB	Bückeburg	NULL	NULL	Bückeburg Air Base	medium_airport	9.0821700	52.2785000	230
ETHC		NULL	NULL	Celle Army Airfield	medium_airport	10.0221000	52.5912020	129
ETHE		Germany	North Rhine-Westphalia	Rheine-Bentlage Airfield	small_airport	7.3870000	52.2911990	129
ETHF	Fritzlar	Germany	Hesse	Fritzlar Army Airfield	medium_airport	9.2860000	51.1146000	565
ETHL	Laupheim	NULL	NULL	Laupheim Air Base	medium_airport	9.9100200	48.2202990	1766
ETHM	Mendig	NULL	NULL	Mendig Airfield	small_airport	7.3153300	50.3660010	597
ETHN	Niederstetten	Germany	Baden-Württemberg	Niederstetten Army Air Base	medium_airport	9.9567470	49.3916200	1536
ETHR	Roth	Germany	Bavaria	Roth Airfield	small_airport	11.1002000	49.2174990	1268
ETHS	Faßberg	Germany	Lower Saxony	Faßberg Air Base	medium_airport	10.1858270	52.9193990	245
ETIC	Grafenwöhr	NULL	NULL	Grafenwöhr Army Air Field	medium_airport	11.9402000	49.6987000	1363
ETIH	Hohenfels	Germany	Bavaria	Hohenfels Army Airfield	medium_airport	11.8360640	49.2165410	1455
ETIN	Kitzingen	Germany	Bavaria	Kitzingen Airfield	small_airport	10.2073130	49.7442930	689
ETMN	Wurster Nordseeküste	NULL	NULL	Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase	medium_airport	8.6592010	53.7676890	74
ETND	Diepholz	Germany	Lower Saxony	Diepholz Air Base	medium_airport	8.3422220	52.5855560	128
ETNG	Geilenkirchen	Germany	North Rhine-Westphalia	Geilenkirchen Air Base	medium_airport	6.0424200	50.9608000	296
ETNH	Hohn	Germany	Schleswig-Holstein	Hohn Air Base	medium_airport	9.5381700	54.3121990	39
ETNL	Laage	NULL	NULL	Rostock-Laage Airport	medium_airport	12.2783000	53.9182010	138
ETNN	Nörvenich	Germany	North Rhine-Westphalia	Nörvenich Air Base	medium_airport	6.6581700	50.8312000	386
ETNS	Jagel	Germany	Schleswig-Holstein	Schleswig Air Base	medium_airport	9.5163300	54.4593010	70
ETNT	Wittmund	Germany	Lower Saxony	Wittmundhafen Air Base	medium_airport	7.6673300	53.5477980	26
ETNW		Germany	Lower Saxony	Wunstorf Air Base	medium_airport	9.4271700	52.4572980	187
ETOI	Vilseck	Germany	Bavaria	Vilseck Army Air Field	small_airport	11.7674950	49.6340770	1353
ETOR		Germany	Baden-Württemberg	Coleman Army Air Field	small_airport	8.4633900	49.5635990	309
ETOU	Wiesbaden	NULL	NULL	Wiesbaden Army Airfield	medium_airport	8.3254004	50.0498009	461
ETSB	Alflen	Germany	Rhineland-Palatinate	Büchel Air Base	medium_airport	7.0633300	50.1738010	1568
ETSH	Holzdorf	Germany	Brandenburg	Holzdorf Air Base	medium_airport	13.1677000	51.7677990	265
ETSI	Manching	Germany	Bavaria	Ingolstadt Manching Airport	medium_airport	11.5340004	48.7156982	1202
ETSL	Graben	NULL	NULL	Lechfeld Air Base	medium_airport	10.8612000	48.1855040	1822
ETSN	Neuburg an der Donau	Germany	Bavaria	Neuburg Air Base	medium_airport	11.2115000	48.7109990	1249
EVAD	Ādaži	Latvia	Riga District	Ādaži Airfield	small_airport	24.2658000	57.0985980	8
EVLA	Liepāja	Latvia	Liepāja District	Liepāja International Airport	medium_airport	21.0969010	56.5175020	16
EVRA	Riga	Latvia	Riga (city)	Riga International Airport	large_airport	23.9711000	56.9235990	36
EVRS	Riga	Latvia	Riga (city)	Spilve Aerodrome	small_airport	24.0750008	56.9911003	3
EVVA	Ventspils	Latvia	Ventspils (city)	Ventspils International Airport	small_airport	21.5442010	57.3578000	19
EYKA	Kaunas	NULL	NULL	Kaunas International Airport	medium_airport	24.0848007	54.9639015	256
EYKL	Klaipėda	NULL	NULL	Klaipėda Airfield	small_airport	21.2428920	55.7120210	59
EYKS	Kaunas	NULL	NULL	S. Darius and S. Girėnas Airfield	small_airport	23.8815000	54.8797990	246
EYPA	Palanga	Lithuania	Klaipėda County	Palanga International Airport	medium_airport	21.0939007	55.9732018	33
EYPP	Panevėžys	Lithuania	Panevėžys County	Panevėžys Air Base	medium_airport	24.4608002	55.7294006	197
EYPR	Pociūnai	NULL	NULL	Pociūnai Airfield	small_airport	24.0618990	54.6493990	200
EYSA	Šiauliai	Lithuania	Šiauliai County	Šiauliai International Airport	medium_airport	23.3950005	55.8939018	443
EYSB	Šiauliai	Lithuania	Šiauliai County	Barysiai Airfield	medium_airport	23.5581000	56.0705990	270
EYSI	Šilute	NULL	NULL	Šilute Air Base	small_airport	21.5306000	55.3368990	59
EYVI	Vilnius	Lithuania	Vilnius County	Vilnius International Airport	large_airport	25.2858010	54.6341020	648
EYVP	Paluknys	Lithuania	Vilnius County	Paluknys Airfield	small_airport	24.9873730	54.4848480	400
FA38	Oklawaha	NULL	NULL	Woods and Lakes Airpark	small_airport	-81.8870010	29.1236000	100
FA40	New Port Richey	United States	Florida	Hidden Lake Airport	small_airport	-82.6456990	28.2824990	30
FA54	Placida	United States	Florida	Coral Creek Airport	small_airport	-82.2511980	26.8545000	4
FAAB	Alexander Bay	South Africa	Northern Cape	Alexander Bay Airport	medium_airport	16.5333000	-28.5750010	98
FAAG	Aggeneys	NULL	NULL	Aggeneys Airport	medium_airport	18.8139000	-29.2817990	2648
FABA	Bapsfontein	NULL	NULL	Microland Flight Park	small_airport	28.3890152	-25.9762558	5476
FABB	Brakpan	South Africa	Gauteng	Brakpan Airport	small_airport	28.3017998	-26.2385998	5300
FABE	Bisho	South Africa	Eastern Cape	Bisho Airport	medium_airport	27.2791000	-32.8970990	1950
FABL	Bloemfontain	South Africa	Free State	Bram Fischer International Airport	medium_airport	26.3024010	-29.0926990	4457
FABM	Bethlehem	NULL	NULL	Bethlehem Airport	small_airport	28.3361000	-28.2484000	5561
FABR	Umjindi (Barberton)	NULL	NULL	Barberton Airport	medium_airport	30.9749740	-25.7171470	2250
FACT	Cape Town	NULL	NULL	Cape Town International Airport	large_airport	18.6016998	-33.9648018	151
FADU		NULL	NULL	Walkersons Field	small_airport	30.1877800	-25.3627800	6041
FADX	Koeberg	South Africa	Western Cape	Delta 200 Airstrip	small_airport	18.4718800	-33.6494935	220
FAEL	East London	South Africa	Eastern Cape	King Phalo Airport	medium_airport	27.8258990	-33.0355990	435
FAGC	Midrand	South Africa	Gauteng	Grand Central Airport	medium_airport	28.1401005	-25.9862995	5325
FAGG	George	South Africa	Western Cape	George Airport	medium_airport	22.3789020	-34.0056000	648
FAGM	Johannesburg	South Africa	Gauteng	Rand Airport	medium_airport	28.1511990	-26.2425000	5483
FAGT	Grahamstown	NULL	NULL	Grahamstown Airport	small_airport	26.4981003	-33.2846985	2135
FAGY	Greytown	South Africa	Kwazulu-Natal	Greytown Airport	small_airport	30.5867004	-29.1219997	3531
FAHR	Harrismith	NULL	NULL	Harrismith Airport	medium_airport	29.1061990	-28.2351000	5585
FAHS	Hoedspruit	South Africa	Limpopo	Hoedspruit Air Force Base Airport	small_airport	31.0487003	-24.3686008	1743
FAKD	Klerksdorp	South Africa	North-West	P C Pelser Airport	medium_airport	26.7180000	-26.8710990	4444
FAKM	Kimberley	South Africa	Northern Cape	Kimberley Airport	medium_airport	24.7651997	-28.8027992	3950
FAKN	Mpumalanga	South Africa	Mpumalanga	Kruger Mpumalanga International Airport	medium_airport	31.1056004	-25.3831997	2829
FAKP	Komatipoort	NULL	NULL	Komatipoort Airport	small_airport	31.9300003	-25.4403000	541
FAKR	Krugersdorp	South Africa	Gauteng	Krugersdorp Airport	small_airport	27.7259150	-26.0808260	5499
FAKS	Kroonstad	South Africa	Free State	Kroonstad Airport	small_airport	27.3158000	-27.6606010	4700
FAKT	Boschkop	South Africa	Gauteng	Kitty Hawk Airport	small_airport	28.4500008	-25.8600006	4619
FAKX	Boesmansriviermond	NULL	NULL	Kenton-on-Sea Airport	small_airport	26.6305930	-33.6703290	172
FAKZ	Kleinsee	South Africa	Northern Cape	Kleinsee Airport	medium_airport	17.0939999	-29.6884003	270
FALA	Johannesburg	South Africa	Gauteng	Lanseria International Airport	medium_airport	27.9261000	-25.9384990	4517
FALC	Lime Acres	South Africa	Northern Cape	Lime Acres Finsch Mine Airport	medium_airport	23.4391003	-28.3600998	4900
FALE	Durban	NULL	NULL	King Shaka International Airport	large_airport	31.1197222	-29.6144444	295
FALI	Lichtenburg	South Africa	North-West	Lichtenburg Airport	small_airport	26.1846008	-26.1756992	4875
FALM	Louis Trichardt Southwest	South Africa	Limpopo	Makhado Air Force Base Airport	small_airport	29.6965010	-23.1599010	3069
FALO	Louis Trichardt	South Africa	Limpopo	Louis Trichardt Airport	small_airport	29.8647003	-23.0618992	3025
FALW	Langebaanweg	South Africa	Western Cape	Langebaanweg Airport	medium_airport	18.1602993	-32.9688988	108
FALY	Ladysmith	South Africa	Kwazulu-Natal	Ladysmith Airport	medium_airport	29.7497005	-28.5816994	3548
FAMB	Middelburg	South Africa	Mpumalanga	Middelburg Airport	small_airport	29.4402008	-25.6847992	4886
FAMD	Malamala	South Africa	Limpopo	Malamala Airport	medium_airport	31.5440850	-24.8168660	1124
FAMG	Margate	South Africa	Kwazulu-Natal	Margate Airport	medium_airport	30.3430004	-30.8574009	495
FAMJ	Amerspoort	South Africa	Mpumalanga	Majuba Power Station Airport	small_airport	29.7784996	-27.0792999	5600
FAMM	Mafeking	South Africa	North-West	Mmabatho International Airport	medium_airport	25.5480003	-25.7984009	4181
FAMO	Mossel Bay	South Africa	Western Cape	Mossel Bay Airport	small_airport	22.0556760	-34.1587460	531
FANC	Newcastle	South Africa	Kwazulu-Natal	Newcastle Airport	medium_airport	29.9769001	-27.7705994	4074
FAOB	Overberg	South Africa	Western Cape	Overberg Airport	small_airport	20.2524380	-34.5634740	52
FAOH	Oudtshoorn	South Africa	Western Cape	Oudtshoorn Airport	medium_airport	22.1889992	-33.6069984	1063
FAOR	Johannesburg	South Africa	Gauteng	O.R. Tambo International Airport	large_airport	28.2460000	-26.1392000	5558
FAPA	Port Alfred	NULL	NULL	Port Alfred Airport	small_airport	26.8816560	-33.5550570	275
FAPE	Gqeberha (Port Elizabeth)	NULL	NULL	Chief Dawid Stuurman International Airport	medium_airport	25.6173000	-33.9849010	226
FAPG	Plettenberg Bay	NULL	NULL	Plettenberg Bay Airport	medium_airport	23.3287230	-34.0881600	465
FAPH	Phalaborwa	South Africa	Limpopo	Hendrik Van Eck Airport	medium_airport	31.1553993	-23.9372005	1432
FAPI	Polokwane	South Africa	Limpopo	Pietersburg Municipal Airport	medium_airport	29.4843998	-23.9260998	4354
FAPM	Pietermaritzburg	South Africa	Kwazulu-Natal	Pietermaritzburg Airport	medium_airport	30.3987007	-29.6490002	2423
FAPN	Pilanesberg	NULL	NULL	Pilanesberg International Airport	small_airport	27.1734010	-25.3337990	3412
FAPP	Polokwane	South Africa	Limpopo	Polokwane International Airport	medium_airport	29.4586150	-23.8452690	4076
FAPS	Potchefstroom	South Africa	North-West	Potchefstroom Airport	medium_airport	27.0818996	-26.6709995	4520
FAPY	Parys	South Africa	Free State	Parys Airport	small_airport	27.5034008	-26.8892994	4740
FAQT	Queenstown	South Africa	Eastern Cape	Queenstown Airport	medium_airport	26.8822002	-31.9202003	3637
FARB	Richards Bay	NULL	NULL	Richards Bay Airport	medium_airport	32.0920982	-28.7409992	109
FARG	Rustenburg	South Africa	North-West	Rustenburg Airport	medium_airport	27.2710991	-25.6443005	3700
FARS	Robertson	NULL	NULL	Robertson Airport	medium_airport	19.9028000	-33.8121990	640
FASC	Secunda	South Africa	Mpumalanga	Secunda Airport	medium_airport	29.1700993	-26.5240994	5250
FASD	Saldanha-Vredenburg	South Africa	Western Cape	Saldanha/Vredenburg Airport	medium_airport	17.9692990	-32.9641000	50
FASE	Belfast	NULL	NULL	Sabi Sabi Airport	small_airport	31.4488478	-24.9473754	1276
FASH	Stellenbosch	CA	BC	Stellenbosch Airport	small_airport	18.8223270	-33.9809830	295
FASI	Del Fouche	South Africa	Gauteng	Springs Airfield	small_airport	28.3982716	-26.2494005	5340
FASK	Pretoria	South Africa	Gauteng	Swartkop Air Force Base	medium_airport	28.1646000	-25.8097000	4780
FASS	Sishen	NULL	NULL	Sishen Airport	medium_airport	22.9993000	-27.6486000	3848
FASZ	Skukuza	South Africa	Mpumalanga	Skukuza Airport	medium_airport	31.5886993	-24.9608994	1020
FATA	Tedderfield	NULL	NULL	Tedderfield Air Park	small_airport	27.9681630	-26.3520377	5198
FATP	Bloemfontein	South Africa	Free State	New Tempe Airport	small_airport	26.1626800	-29.0351090	4547
FATT	Standerton	South Africa	Mpumalanga	Tutuka Power Station Airport	small_airport	29.3375420	-26.7751280	5313
FATZ	Tzaneen	NULL	NULL	Tzaneen Airport	medium_airport	30.3293000	-23.8244000	1914
FAUL	Ulundi	South Africa	Kwazulu-Natal	Prince Mangosuthu Buthelezi Airport	medium_airport	31.4165001	-28.3206005	1720
FAUP	Upington	South Africa	Northern Cape	Pierre Van Ryneveld Airport	medium_airport	21.2602005	-28.3990994	2782
FAUT	Mthatha	South Africa	Eastern Cape	K. D. Matanzima Airport	medium_airport	28.6733551	-31.5463632	2400
FAVG	Durban	South Africa	Kwazulu-Natal	Virginia Airport	medium_airport	31.0583990	-29.7705990	20
FAVM	Alldays	South Africa	Limpopo	Venetia Mine Airport	small_airport	29.3377000	-22.4480990	2333
FAVV	Vereeniging	South Africa	Gauteng	Vereeniging Airport	medium_airport	27.9608002	-26.5664005	4846
FAWA	Warmbaths	South Africa	Limpopo	Warmbaths Airport	small_airport	28.2999992	-24.9099998	3655
FAWB	Pretoria	South Africa	Gauteng	Wonderboom Airport	medium_airport	28.2241990	-25.6539000	4095
FAWI	Witbank	South Africa	Mpumalanga	Witbank Airport	small_airport	29.1919994	-25.8323002	5078
FAWK	Pretoria	South Africa	Gauteng	Waterkloof Air Force Base	medium_airport	28.2224998	-25.8299999	4940
FAWM	Welkom	South Africa	Free State	Welkom Airport	small_airport	26.6633340	-27.9968250	4421
FAWN	Durbanville	NULL	NULL	Cape Winelands Airport	small_airport	18.7400000	-33.7700000	399
FAWT	Doornbosch	NULL	NULL	Winterveldt Mine Airport	small_airport	30.1804220	-24.6600910	3000
FAYP	Cape Town	South Africa	Western Cape	Ysterplaat Air Force Base	medium_airport	18.4983006	-33.9001999	52
FBFT	Francistown	Botswana	North-East District	P G Matante Intl	medium_airport	27.4685450	-21.1591400	3283
FBJW	Jwaneng	Botswana	Southern District	Jwaneng Airport	medium_airport	24.6910000	-24.6023010	3900
FBKE	Kasane	Botswana	North-West District	Kasane Airport	medium_airport	25.1623990	-17.8328990	3289
FBMN	Maun	Botswana	North-West District	Maun Airport	medium_airport	23.4311008	-19.9726009	3093
FBSK	Gaborone	Botswana	South-East District	Sir Seretse Khama International Airport	large_airport	25.9182000	-24.5552010	3299
FBSP	Selebi Phikwe	Botswana	Central District	Selebi Phikwe Airport	medium_airport	27.8288000	-22.0583000	2925
FCBB	Brazzaville	Congo (Brazzaville)	Pool Department	Maya-Maya Airport	medium_airport	15.2530003	-4.2516999	1048
FCOD	Oyo	NULL	NULL	Oyo Ollombo Airport	medium_airport	15.9100000	-1.2266660	1073
FCOU		Congo (Brazzaville)	Sangha Department	Ouesso Airport	medium_airport	16.0379010	1.6159900	1158
FCPP	Pointe Noire	Congo (Brazzaville)	Kouilou Department	Antonio Agostinho-Neto International Airport	medium_airport	11.8866000	-4.8160300	55
FDMS	Manzini	Swaziland	Manzini	Matsapha Airport	medium_airport	31.3075010	-26.5289990	2075
FDSK	Mpaka	Swaziland	Lubombo	King Mswati III International Airport	large_airport	31.7169440	-26.3586110	1092
FEFF	Bangui	Central African Republic	Ombella-M'Poko	Bangui M'Poko International Airport	medium_airport	18.5188007	4.3984799	1208
FEFT	Berbérati	Central African Republic	Mambéré-Kadéï	Berbérati Airport	medium_airport	15.7863998	4.2215800	1929
FGBT	Bata	Equatorial Guinea	Litoral	Bata Airport	medium_airport	9.8056800	1.9054700	13
FGSL	Malabo	Equatorial Guinea	Bioko Norte	Malabo Airport	medium_airport	8.7087202	3.7552700	76
FHAW	Cat Hill	Saint Helena	Ascension	RAF Ascension Island	medium_airport	-14.3937000	-7.9696000	278
FHSH	Longwood	Saint Helena	Saint Helena	Saint Helena Airport	small_airport	-5.6459430	-15.9577250	1017
FI-0018	Helsinki	NULL	NULL	Helsinki Malmi Airport	closed	25.0428010	60.2546010	57
FI-0019	Tampere	NULL	NULL	Teisko Airfield	closed	24.0270000	61.7733000	515
FIMP	Plaine Magnien	Mauritius	Grand Port	Sir Seewoosagur Ramgoolam International Airport	large_airport	57.6836010	-20.4302010	186
FIMR	Port Mathurin	Mauritius	Rodrigues Island	Sir Charles Gaetan Duval Airport	medium_airport	63.3610000	-19.7577000	95
FJDG	Diego Garcia	British Indian Ocean Territory	(unassigned)	Diego Garcia Naval Support Facility	medium_airport	72.4111020	-7.3132700	9
FKKC	Tiko	Cameroon	South-West Region	Tiko Airport	medium_airport	9.3605299	4.0891900	151
FKKD	Douala	NULL	NULL	Douala International Airport	medium_airport	9.7194796	4.0060802	33
FKKL	Maroua	Cameroon	Far North Region	Salak Airport	medium_airport	14.2573996	10.4513998	1390
FKKM	Foumban	NULL	NULL	Foumban Nkounja Airport	medium_airport	10.7508000	5.6369200	3963
FKKN	N'Gaoundéré	Cameroon	Adamaoua Region	N'Gaoundéré Airport	medium_airport	13.5592003	7.3570099	3655
FKKR	Garoua	Cameroon	North Region	Garoua International Airport	medium_airport	13.3701000	9.3358898	794
FKKU	Bafoussam	Cameroon	West Region	Bafoussam Airport	medium_airport	10.3546000	5.5369201	4347
FKKV	Bamenda	Cameroon	North-West Region	Bamenda Airport	medium_airport	10.1226000	6.0392400	4065
FKYS	Yaoundé	NULL	NULL	Yaoundé Nsimalen International Airport	medium_airport	11.5532999	3.7225599	2278
FLKS	Kasama	Zambia	Northern Province	Kasama Airport	small_airport	31.1230450	-10.2101690	4541
FLLC	Lusaka	NULL	NULL	Lusaka City Airport	medium_airport	28.3307000	-15.4138000	4200
FLLI	Livingstone	NULL	NULL	Harry Mwanga Nkumbula International Airport	medium_airport	25.8227010	-17.8218000	3302
FLLS	Lusaka	NULL	NULL	Kenneth Kaunda International Airport	large_airport	28.4527220	-15.3308330	3779
FLMF	Mfuwe	Zambia	Eastern Province	Mfuwe Airport	medium_airport	31.9365997	-13.2588997	1853
FLMG	Mongu	Zambia	Western Province	Mongu Airport	medium_airport	23.1623000	-15.2545000	3488
